"Date","Hour","Active followers"
"2021-08-07","1","399"
"2021-08-07","2","315"
"2021-08-07","3","240"
"2021-08-07","4","194"
"2021-08-07","5","132"
"2021-08-07","6","117"
"2021-08-07","7","121"
"2021-08-07","8","165"
"2021-08-07","9","228"
"2021-08-07","10","297"
"2021-08-07","11","354"
"2021-08-07","12","373"
"2021-08-07","13","416"
"2021-08-07","14","441"
"2021-08-07","15","416"
"2021-08-07","16","450"
"2021-08-07","17","480"
"2021-08-07","18","455"
"2021-08-07","19","445"
"2021-08-07","20","461"
"2021-08-07","21","461"
"2021-08-07","22","468"
"2021-08-07","23","483"
"2021-08-07","24","464"
"2021-08-08","1","390"
"2021-08-08","2","347"
"2021-08-08","3","268"
"2021-08-08","4","195"
"2021-08-08","5","136"
"2021-08-08","6","109"
"2021-08-08","7","134"
"2021-08-08","8","178"
"2021-08-08","9","228"
"2021-08-08","10","307"
"2021-08-08","11","383"
"2021-08-08","12","450"
"2021-08-08","13","417"
"2021-08-08","14","442"
"2021-08-08","15","417"
"2021-08-08","16","408"
"2021-08-08","17","408"
"2021-08-08","18","436"
"2021-08-08","19","503"
"2021-08-08","20","439"
"2021-08-08","21","477"
"2021-08-08","22","495"
"2021-08-08","23","486"
"2021-08-08","24","433"
"2021-08-09","1","369"
"2021-08-09","2","297"
"2021-08-09","3","231"
"2021-08-09","4","177"
"2021-08-09","5","126"
"2021-08-09","6","115"
"2021-08-09","7","160"
"2021-08-09","8","238"
"2021-08-09","9","277"
"2021-08-09","10","316"
"2021-08-09","11","364"
"2021-08-09","12","390"
"2021-08-09","13","468"
"2021-08-09","14","450"
"2021-08-09","15","420"
"2021-08-09","16","364"
"2021-08-09","17","407"
"2021-08-09","18","439"
"2021-08-09","19","476"
"2021-08-09","20","430"
"2021-08-09","21","488"
"2021-08-09","22","510"
"2021-08-09","23","483"
"2021-08-09","24","470"
"2021-08-10","1","349"
"2021-08-10","2","263"
"2021-08-10","3","214"
"2021-08-10","4","155"
"2021-08-10","5","118"
"2021-08-10","6","120"
"2021-08-10","7","159"
"2021-08-10","8","207"
"2021-08-10","9","266"
"2021-08-10","10","312"
"2021-08-10","11","354"
"2021-08-10","12","403"
"2021-08-10","13","500"
"2021-08-10","14","442"
"2021-08-10","15","402"
"2021-08-10","16","385"
"2021-08-10","17","432"
"2021-08-10","18","420"
"2021-08-10","19","492"
"2021-08-10","20","480"
"2021-08-10","21","492"
"2021-08-10","22","482"
"2021-08-10","23","489"
"2021-08-10","24","436"
"2021-08-11","1","367"
"2021-08-11","2","275"
"2021-08-11","3","207"
"2021-08-11","4","155"
"2021-08-11","5","125"
"2021-08-11","6","90"
"2021-08-11","7","141"
"2021-08-11","8","220"
"2021-08-11","9","291"
"2021-08-11","10","329"
"2021-08-11","11","354"
"2021-08-11","12","392"
"2021-08-11","13","485"
"2021-08-11","14","427"
"2021-08-11","15","395"
"2021-08-11","16","380"
"2021-08-11","17","392"
"2021-08-11","18","442"
"2021-08-11","19","486"
"2021-08-11","20","460"
"2021-08-11","21","461"
"2021-08-11","22","501"
"2021-08-11","23","453"
"2021-08-11","24","430"
"2021-08-12","1","356"
"2021-08-12","2","249"
"2021-08-12","3","194"
"2021-08-12","4","141"
"2021-08-12","5","107"
"2021-08-12","6","107"
"2021-08-12","7","148"
"2021-08-12","8","241"
"2021-08-12","9","265"
"2021-08-12","10","313"
"2021-08-12","11","375"
"2021-08-12","12","412"
"2021-08-12","13","455"
"2021-08-12","14","415"
"2021-08-12","15","357"
"2021-08-12","16","401"
"2021-08-12","17","424"
"2021-08-12","18","433"
"2021-08-12","19","463"
"2021-08-12","20","479"
"2021-08-12","21","479"
"2021-08-12","22","496"
"2021-08-12","23","482"
"2021-08-12","24","446"
"2021-08-13","1","356"
"2021-08-13","2","280"
"2021-08-13","3","211"
"2021-08-13","4","147"
"2021-08-13","5","117"
"2021-08-13","6","96"
"2021-08-13","7","133"
"2021-08-13","8","235"
"2021-08-13","9","294"
"2021-08-13","10","337"
"2021-08-13","11","368"
"2021-08-13","12","400"
"2021-08-13","13","439"
"2021-08-13","14","445"
"2021-08-13","15","420"
"2021-08-13","16","415"
"2021-08-13","17","437"
"2021-08-13","18","435"
"2021-08-13","19","506"
"2021-08-13","20","450"
"2021-08-13","21","436"
"2021-08-13","22","468"
"2021-08-13","23","477"
"2021-08-13","24","434"
"2021-08-14","1","365"
"2021-08-14","2","311"
"2021-08-14","3","243"
"2021-08-14","4","155"
"2021-08-14","5","114"
"2021-08-14","6","113"
"2021-08-14","7","148"
"2021-08-14","8","196"
"2021-08-14","9","269"
"2021-08-14","10","333"
"2021-08-14","11","344"
"2021-08-14","12","382"
"2021-08-14","13","441"
"2021-08-14","14","462"
"2021-08-14","15","409"
"2021-08-14","16","411"
"2021-08-14","17","402"
"2021-08-14","18","434"
"2021-08-14","19","468"
"2021-08-14","20","480"
"2021-08-14","21","490"
"2021-08-14","22","468"
"2021-08-14","23","437"
"2021-08-14","24","423"